label,description
Michelin,"Since 1971, Homburg has been home to one of Michelin's most important truck tire plants worldwide. At the Homburg plant, approximately 1,500 employees produce about one million high-tech new tires and 620,000 MICHELIN retreaded commercial vehicle tires annually. In addition, 150,000 tons of rubber compounds and steel cord fabric are produced, and up to 15 million RFID chips are processed. The plant's core competencies include modern production facilities, complex pre-products, and a high degree of production flexibility to respond quickly to customer requirements, as well as autonomous employees who organize themselves and production in flat hierarchies."
ThyssenKrupp,"thyssenkrupp Gerlach GmbH is one of the world's leading drop forges and market leader for forged crankshafts. At the Homburg (Saar) site we produce crankshafts for the international auto industry with around 700 employees. With the biggest investment in the history of thyssenkrupp Gerlach, we are expanding our product range at the Homburg site with the forging of truck front axles and thus taking a further step towards the future."
Hager,"Hager brand, with products ranging from energy distribution through cable management and wiring accessories to building automation and security systems, represents the core business of our company. Other brands of Hager Group are Berker, Bocchiotti, Elcom and E3/DC. This allows us to combine all the skills necessary for the development of innovative products, systems and services required for building automation. Together with our customers from industry and the electrical trade, we are working on future topics such as electro-mobility with charging stations for residential buildings as well as for public infrastructures, building automation and on the networking of energy-efficient housing, which will provide greater comfort while requiring less energy consumption. The link between many of these technologies will be the distribution board, the product with which we have achieved our growth. The company was founded in 1955 by Hermann Hager and Dr. Oswald Hager together with their father Peter, and today remains an independent business, owned and run by members of Hager family, with its head office in Blieskastel, Germany. The organisation of the company as a European Company (Societas Europaea, SE) underlines both our cultural diversity and our European roots. Hager Group is, nevertheless, a worldwide business: 12,900 employees generated a turnover of around 2.8 billion euros (in 2022). We produce our components and solutions in 20 production sites around the globe and customers in more than 100 countries all over the world trust in them."
Purem,"As a specialist for exhaust emission conversion and acoustic systems, we strive to achieve clean and quiet mobility. The innovative products from Purem by Eberspächer improve air quality and sustainably reduce traffic noise. Our lightweight constructions contribute to reducing CO2 emissions. As a leading global player, we offer solutions for all major passenger car and commercial vehicle manufacturers. In doing so, we are contributing to comply with current emission and acoustic legislations.  As a technology expert and reliable partner, we serve to inspire our customers. The basis and prerequisite for successful cooperation is a partnership at eye level, from which both sides benefit sustainably."
SaarGummi,"SaarGummi Group has been developing and producing rubber products since 1947. From a German company based in Wadern-Büschfeld in Saarland, it has developed into a global group operating in North, Central and South America, Europe, Russia, India, Korea and China. The SaarGummi Group comprises all of SaarGummi's business units and coordinates all product developments as the global headquarters."
VOIT,"VOIT Automotive is an automotive supplier with global operations with production sites in 4 countries. Thanks to our customers, the large OEMs and 1st tier suppliers, our components are installed in the most innovative and beautiful cars in the world: over 100 million parts annually, in over 45 brands and in over 250 vehicle models. We are thus making a decisive contribution to the markets and future of mobility. The heart of the VOIT corporate group beats in Plant 1. It is the breeding ground for new ideas, process development and optimization and, at the same time, it is the largest production site. Keeping pace with the latest trends, we create new innovative new production technologies which are used in series production in our forming technology and aluminium die casting divisions. Whether engineering or process expertise: we become involved in our clients’ component development and proficiently control the whole process chain through manufacturing, mechanical processing, the assembly and joining operations right up to the ready-to-install series component and its just-in- time delivery. The combination of cross-disciplinary material and process know-how as well as innovative production technologies is what makes VOIT unique."
Meiser,"In the field of grating MEISER has a leading position worldwide. The product range is completed by further business areas. These include steel processing with its own slitting lines and cold rolling centres. Furthermore, MEISER operates traditional hot dip galvanising plants and a strip galvanizing plant. The diversification is rounded off by the production of sheet metal profile grating, staircase systems, special sections, scaffolding systems, products for road safety and barrel hoops."
SAP,"As the market leader in business software, SAP helps companies of all sizes and in all industries to be more successful: 87% of global trade volume is generated by SAP customers. Our machine learning, Internet of Things (IoT), and advanced analytics technologies help our customers on their journey to becoming smart businesses. Our end-to-end suite of applications and services enables our customers to operate profitably and continuously adapt and differentiate from the competition."
Nemak,"Having around 1,200 employees, the high-tech foundry in Dillingen is one of the largest Nemak sites worldwide. Headquartered in Monterrey, Mexico, the company employs a total of more than 22,000 people at 38 production sites on five continents, where highly complex aluminum components are manufactured for vehicle powertrains and structures as well as for the electric mobility sector."
Peter Gross Bau,"Peter Gross Bau - that is comprehensive construction expertise, reliability and innovative strength under one roof. For more than 135 years, our family-owned company has been a constant in the construction industry. We are specialists in all areas of civil engineering and all other areas of the construction world. Today, the entire Peter Gross Bau group of companies already comprises more than 2,000 employees. In four generations, Peter Gross Bau has grown into a nationwide company with numerous branches, subsidiaries and associated companies. We are proud of our long-standing business relationships and our nationwide reputation. As one of the pillars of the high-performance Peter Gross Bau, we are ideally equipped to meet all the challenges of the modern construction world. For all our dynamism and flexibility, we also stand in the tradition of our founders: as a value-oriented, responsible and fair construction partner, we are 100 percent committed to our projects."
OBG Group,"Hand on heart: With hardly any other investment do you place so much responsibility in the hands of others as with a construction project. An important decision that needs trust to become successful. The companies of the OBG Group keep their promises. As a group of companies with regional roots we stand for more than five decades of experience, seriousness and reliability. Just like you we attach great importance to quality and fairness. As a medium-sized company, we have often been partners of our clients for decades, who plan and implement their projects with us time and again: reliably, punctually, fairly. And in a quality that convinces."
URSAPHARM,"URSAPHARM is a company that stands for the successful combination of innovative strength and tradition like hardly any other in Saarland. Since its foundation in 1974, the pharmaceutical manufacturer has developed into a globally operating group of companies. Numerous innovative products and patents secure the future of the company and offer more than 500 highly qualified employees at the headquarters in Saarbrücken and in the sales countries excellent working conditions and promising future prospects. With its own subsidiaries in France, Benelux, Austria, Poland, the Czech Republic, the Slovak Republic, Portugal, Russia, India, Italy and Switzerland, as well as cooperation agreements with sales partners in over 80 countries, URSAPHARM has developed over the past decades into a true global player that is now active far beyond its home borders. Nevertheless, the company has retained its connection to its home in the Saarland and its proverbial down-to-earthness. With Frank and Dominik Holzer at the helm, the second and third generations are already jointly steering the fortunes of the family business."
Hörmann,"More than 20 million doors have been produced and delivered worldwide since the company was founded in 1935. In 40 specialized plants in Europe, North America and Asia, more than 6,000 employees develop and produce high-quality doors, frames, operators, access control and storage systems for use in private and commercial properties. The headquarters of the globally active Hörmann Group is located in the East Westphalian municipality of Steinhagen near Bielefeld. The company, now in its third and fourth generations of family management, most recently achieved annual sales of more than 1 billion euros."
Kunzler,"Using a lot of passion, fresh and tasty meat and sausage products are created daily in our production facility in Überherrn, Saarland. As one of the largest sausage producers in the southwest of Germany, we specialize in the marketing of sausage products. Founded by Peter Kunzler in 1896 and still run by the owner family, the traditional company combines the art of butchery with creative product ideas under modern manufacturing conditions. As is well known, tastes are different, which is why we offer our customers different brand assortments. Each brand convinces with its own flavor and recipe."
Diehl Defence,"Diehl Defence supplies high-tech equipment for defense. With the development and production of guided missiles and ammunition for the Army, Air Force and Navy, the company is one of the technology leaders on the world market. A new addition is the range of modern system solutions for ground-based air defense. Innovative solutions in the fields of reconnaissance, surveillance, training and protection round off the product range."
HYDAC,"Founded in 1963 in Saarland as a company for hydraulic accessories and managed as a family business, HYDAC has continued to develop. HYDAC now has more than 50 national subsidiaries, around 500 sales and service partners, 14 product divisions and more than 9,500 employees worldwide. You can rely on HYDAC's proven expertise in hydraulics, systems technology and fluid engineering. Thus, we are committed to cross-industry as well as sustainable and, above all, customer-oriented total solutions. In doing so, we are not theorists - with a comprehensive understanding of the industry, we develop systems that prove themselves today, as well as in the future. For you and with you."
Backes AG,"Over the past decades, the J. Backes Bauunternehmung, founded by civil engineer Josef Backes, has developed into one of the leading construction groups in Saarland and the neighboring regions. Today, Backes AG bundles efficient companies from the construction industry into an effective overall concept. This constellation enables construction measures to be carried out effectively, in a resource-saving manner and with the desired quality. As a full-service provider with 350 employees and an annual construction output of approx. € 70 million, we as a group face up to the demands of the markets. With our motto Performing more with conviction, our goals are a high-quality and on-time implementation of construction activities, the safeguarding of the existence of the companies and thus also the safeguarding of jobs in the region."
Karlsberg,"Karlsberg Brauerei GmbH is one of the largest family-run brewery groups among the almost 1,550 breweries in Germany. The company pursues a consumer-focused strategy of developing, producing, and distributing a broad range of alcoholic and non-alcoholic beverage brands. The focus is on the strategic brands Karlsberg and MiXery with a portfolio of beers, beer mixes and non-alcoholic beers, accompanied by a range of other own brands and brands from cooperation partners. This brand business is supplemented to a limited extent by contract production, especially for international customers."
Globus,"The GLOBUS company originated in St. Wendel in the Saarland. Here, in 1828, the founder Franz Bruch published an advertisement in the then St. Wendel Intelligenzblatt with the assurance of the cheapest and most real service. GLOBUS has remained true to this principle over all generations. Over many years, the company developed into one of the leading retail companies in Germany. At the same time, we are one of the few large, independent family-owned companies in the German retail sector. In addition to a total of 63 market halls and 89 DIY stores in Germany, the GLOBUS Group also includes 27 full-range stores in the Czech Republic and Russia as well as two DIY stores in Luxembourg."
Caritas,"As a modern and social service provider in the Caritas family, we are committed to helping people in a wide variety of life situations. We offer qualified help in the areas of health, care for the elderly, children and young people, and education. Caritas Trägergesellschaft Saarbrücken mbh (cts) is a large denominational provider with 34 facilities in Saarland and neighboring regions and currently employs around 6,300 people. It was founded in 1992 as a non-profit organization. Our goal is to secure the charitable work in our own facilities and to cooperate in a spirit of partnership within the network of church facilities and sponsors. Being there with people for people is our common mission"
Uni Saar,"Overcoming borders is the signum of Saarland University - borders between cultures as well as barriers between disciplines or outdated dividing lines between science, economy, culture and society. Saarland University was founded in 1948 as a bilingual university under the sponsorship of France.  It is internationally known for its computer science research and nano- and life sciences. Its close ties with France and its European focus are its hallmarks: Saarland University is more international than almost any other medium-sized German university. A special feature is the wide range of cross-border degree programs, which lead to a double degree or - in cooperation with a third foreign partner - even to a triple degree. Many of the university's disciplines are closely networked in research and teaching. The scientists cooperate intensively with universities all over the world as well as with researchers from the surrounding non-university research institutions. All major scientific organizations are represented on campus and nearby, including two Max Planck Institutes, two Leibniz and two Fraunhofer Institutes each, as well as a Helmholtz Center and a Helmholtz Institute."
Welocalize,"Digital transformation has permanently changed the global business landscape. At Welocalize, we help our clients navigate this new landscape by harnessing the potential of their content and data to reach audiences around the world in the shortest possible time. Our services go far beyond mere translation. Welocalize transforms content for new languages across platforms, devices and channels so that it works on-site and creates a superior customer experience worldwide. We also transform the data that supports natural language processing (NLP) machine learning, enabling insights that lead to effective action and better language performance. Innovations in content and data transformation solutions require you to change the definition as well as the physical boundaries of your workforce search. In other words, they necessitate a change in the way you work. We can deliver managed teams worldwide quickly and efficiently because we have over 1,500 professionals in offices and secure branches in North America, Europe and Asia, supported by a growing network of over 77,000 native-speaking professionals in each country."
Möbel Martin,"For more than sixty years, the name MÖBEL MARTIN has stood for a future-oriented and innovatively acting family business. Founded in 1959 by Werner Martin with the first location in Neunkirchen, Saar, MÖBEL MARTIN has grown steadily with its tasks and its successes. Today, the largest furniture retail company in southwest Germany is managed in the second and third generation by Prof. Dr. Silvia Martin and her children Nicolas Martin and Dr. Isabel Martin. Eight furniture stores and six logistics centers in Rhineland-Palatinate and Saarland belong to our group of companies, which are managed by MÖBEL MARTIN Coordination in Saarbrücken. As a furnishing specialist, we are characterized by a wide range of products, high brand competence and exceptional services."
IKK Südwest,"As a regional health insurance provider - open to the states of Hesse, Rhineland-Palatinate and Saarland - IKK Südwest is not only firmly rooted in the region, but also deeply connected to its people. In keeping with our motto By your side for life, we are committed to providing our policyholders with the best possible insurance coverage for their health. With our offers and services, which are excellent in the truest sense of the word, we accompany them in all situations of life. And because we are convinced that services do not fit into any scheme, but must be tailored precisely to our policyholders, your personal customer advisor will be happy to assist you at any time - on site, by phone or digitally. Simply in the way that suits you best. Offering people in the region the best possible healthcare can only succeed with a competent and highly motivated team. At a total of 21 locations, around 1,500 employees are committed to the health of our more than 635,000 policyholders every day."
Dr. Theiss,"As a medium-sized family business, we produce and develop numerous products in the cosmetics and medical sector, as well as in the medicinal and natural remedies sector. In doing so, we reach customers around the globe and often people are amazed when they get to know us better. Because behind the big brands there is one thing above all - a naturally grown family business from the Saarland. Founded in 1978 by pharmacist Dr. Peter Theiss and today led by managing partner Giuseppe Nardi, our product and brand portfolio is constantly growing. The Dr. Theiss Naturwaren group of companies includes the brands Dr. Theiss, Lacalut, medipharma cosmetics, Allgäuer Latschenkiefer and proff. More than 550 people are employed in Homburg. Worldwide, we have 20 subsidiaries and over 2,000 employees, including over 700 sales representatives alone. Our products are sold in more than 60 countries and are mainly manufactured in our production facilities in Homburg, where our headquarters are also located. From the idea to our own research and development, production, packaging and shipping - everything takes place at the company site in Homburg. The entire product range is manufactured and distributed almost exclusively Made in Germany. We cooperate with research facilities, universities and independent institutes and are certified for pharmaceuticals according to GMP (Good Manufacturing Practice)."
Unimed,"Why unimed? If security, quality, innovation and customer focus are important to you - then we are a good fit. When it comes to innovative and digital billing solutions in healthcare, with us you are relying on a specialist partner with over 30 years of proven expertise. That's why we say BillingPLUS - we offer additional services just as we always strive for the optimum in billing performance for our customers. Many years of experience: Welcome to unimed. Since our founding in 1984, we have been the specialists in all aspects of billing processes and more. This competence, developed and tested over decades, is reflected in all our service modules and benefits our customers in many ways. Implementing medical innovations in a GOÄ-compliant manner is our core competence, with which we are successful for our customers as a leading company in the billing of private patients and in other exciting, digital specialties."
CosmosDirekt,"Having a comprehensive range of insurance products, CosmosDirekt offers its customers optimum solutions so that they can protect everything that is dear and important to them. They can be sure that they will always get the insurance product they want with the best benefits at an excellent price. Over 500 test seals from independent institutes have confirmed this for many years in numerous product ratings and rankings. Excellent products and services are not the only things that matter to us. As a true lifetime partner, we also want to accompany our customers through all phases of their lives in a spirit of trust and partnership. Our experienced and competent employees are available to our customers around the clock - providing personal advice and acting as trusted caretakers. This means we can guarantee rapid assistance and direct support at all times."
ORBIS,"ORBIS is a globally active software and business consultancy based in Saarbrücken, Germany. As a management consultancy, we are adept at optimizing and digitalizing business processes for our target audience (medium-sized companies and international corporations). The in-depth process know-how and innovative strength of our 900 employees, combined with the expertise gained from more than 35 years of successful, international project work in various industries, make us a competent partner for our customers."
eurodata,"The eurodata group of companies develops and operates cloud-based software solutions and IT services. The focus is on commercial applications, which are of particular importance for the areas of personnel management and finance and the management of enterprises. Since eurodata was founded in 1965, tax advisor’s offices and filling station and retail solutions have made up the core of its customer base. Today, a total of more than 80,000 customers put their trust in the secure cloud ‘made in Germany’ from the certified eurodata data centre located in Germany. Our mission at eurodata is to support our customers, via automated and digitalised processes, in making practical use of their opportunities for connected work. Today, thoroughly modern digitalisation and business analytics solutions for decentralised ecosystems and professional web services round off the eurodata product portfolio and promote the constant innovation of all the solutions of the eurodata-Group. More than 600 employees in Germany and Europe are dedicated to that mission."
energis,"Our heart beats for the region in which we live. As an energy supplier, we now offer a wide range of products and services. What is important to us? Proximity to our customers! As a subsidiary of VSE AG, energis GmbH is part of a large Saarland group of companies with more than 100 years of tradition. energis was founded in 1999 and since then has been supplying almost all regions of Saarland in the fields of electricity, gas and water supply. In addition, energis is constantly investing in the trends of the future and expanding its product range, such as electromobility, photovoltaics or fiber-optic Internet. As a regional energy supplier, the well-being of our region and the people who live here is particularly close to our hearts. That is why we are increasingly committed to the environment in our country and offer 100% green electricity tariffs. We also promote the culture of associations and the establishment of new businesses through our WATT for Saarland program. As part of the VSE Group, we offer a stable working environment with room for new ideas and personal as well as professional development. More than 130 permanent employees. More than 10 apprentices, students and trainees. Awarded as a family-friendly company."
CISPA,"The Helmholtz Center for Information Security is a German national Big Science Institution within the Helmholtz Association. Its research agenda encompasses all aspects of Information Security. With its ongoing growth, CISPA will soon have the critical mass of researchers (800+) to provide a comprehensive, holistic treatment of the pressing grand Cybersecurity and Privacy research challenges that our society faces in the age of digitalization. CISPA seeks to play a prominent international role in research, transfer, and innovation by combining cutting-edge, often disruptive foundational research with innovative application-oriented research, corresponding technology transfer, and societal outreach. Thematically, it strives to cover the full spectrum from theory to empirical research. It is deeply grounded in computer science and works interdisciplinarily with researchers in adjacent fields such as medicine, law, and the social sciences. CISPA is committed to the highest international academic standards. We offer a world-class research environment that grants extensive resources to a wide range of researchers and constitutes an attractive destination for the best talents and scientists from all countries. Moreover, we strongly support undergraduate and graduate education of Cybersecurity students, and we seek to become an elite training ground for the next generation of Cybersecurity experts and scientific leaders in this field. When our center was founded in 2011, CISPA stood for Center for IT-Security, Privacy and Accountability. In the meantime, CISPA has become established as a proper name. CISPA is based in Saarbrücken, in close proximity to both France and Luxemburg, which is the ideal location for regional as well as cross-border cooperations with other research institutes."
Greencells,"Founded in Germany, successful worldwide. The Greencells Group may not have been founded in the famous garage. But the story comes pretty close. The company started in 2009 as a small installation company in Saarbrücken, Germany. As an agile subcontractor and general contractor in its early years, the company quickly builds its technical expertise and momentum. With a growing customer base and projects in more and more countries, Greencells expands its capabilities and becomes a full-fledged EPC by 2013. Having built a solid portfolio in the UK in 2015, the company seizes the opportunity to also offer operations and maintenance services. Today, Greencells Group remains a trusted service provider for well-known companies in the industry. With its extensive expertise, close-knit network of technology and financial partners, and high bankability, the company also acts as a co-developer for several clients. The group now has an installed capacity of over 2.6 GWp and employs over 300 people worldwide. The Group remains headquartered in Germany and has international subsidiaries in Europe, Asia, the Middle East and the USA."
Scheer,"As a consulting company with proven process expertise, we support companies in developing new business models, optimizing and implementing efficient business processes, and operating their IT. The Scheer Group's consulting solutions and products offer both innovative and reliable solutions for the future-proof end-to-end digitization of companies. Process expertise, quality, innovative strength and a focus on customer benefits characterize our products and services. On the path to meaningful and efficient use of SAP and SAP S/4HANA, Scheer is the preferred partner of many well-known companies. With proven process expertise, state-of-the-art process management and process mining tools, we sustainably ensure the process quality of our customers' business models. Scheer GmbH is the flagship company of the Scheer Group and has offices in various European countries as well as in the USA, Singapore and Australia."
Iqony Energies,"We are Iqony Energies: Decentralized, sustainable, efficient and regenerative - with this claim Iqony Energies develops the best energy solutions around electricity, heat, district heating, cooling, compressed air or process steam for and with our customers and partners. Our services range from wind energy, mine gas and biomass to geothermal energy and the planning, construction and operation of heating networks. This makes us the market leader in Germany for geothermal heat supply, one of the largest operators of biomass cogeneration plants, one of the largest suppliers of district heating and contracting services with more than 100 cogeneration plants in the megawatt range, and the leading recycler in the utilization of mine gas. In this way, we ensure greater efficiency and less consumption of resources in energy generation every day."
PLUSCARD,"People. Cards. Strategies. PLUSCARD credit card processing, founded in 1996 in Saarbrücken, provides comprehensive credit card services from Mastercard and Visa for savings banks and banks. Service above standard and personal support are guidelines that distinguish PLUSCARD as a major driving force in the credit card and processing market. Our customers place great trust in our work. As a result, we already service more than 6 million credit cards, and the trend is still rising! The range of services extends from product development to application processing and 24-hour call center service for cardholders, right through to payment complaints. Our corporate goal is, on the one hand, to provide institutions and their customers with high-quality processing and services related to the card product, and on the other hand, to put together attractive service packages with sought-after additional services. PLUSCARD has its main office in Saarbrücken. Additional offices are also located in Saarbrücken and Homburg/Saar."
IAS Software,"Having over 500 customers, IAS Software has been a steadily growing company in the field of software development and the implementation of business software solutions from Sage in small and medium-sized enterprises for 20 years. We are market leader and Sage Rockstar partner in the field of mobile data collection for warehouse and production (MDE + BDE) in the Sage environment. How do we do it? Through the targeted use of software solutions, we help our customers to make their daily business processes measurably more efficient and to reduce the complexity of their system landscape. The professional and technological competence we have acquired in numerous projects enables us to provide the highest quality at fair conditions. Our mission statement: We rely on a cooperative and trusting relationship with our employees, customers and suppliers. Long-term as well as holistic action is our maxim and more important than short-term profit maximization. In addition to satisfied customers, we see the quality of our services and products as well as a solid economic enterprise as the basis for long-term growth."
Ludwig Schokolade,"Ludwig Schokolade GmbH & Co. KG is one of the most successful suppliers of confectionery in Europe. Under the brands Trumpf, Schogetten, FRITT and Mauxion, the company offers a wide range of chocolates and chewy sweets consisting of chocolate bars, praline specialties, bars, seasonal articles and chewy strips. Ludwig Schokolade's most popular offerings include classics such as Schogetten and Edle Tropfen in Nuss, Wappenklasse, Feinschmecker, Goldnuss and Aero. The company, which is based in Bergisch-Gladbach, is also one of the largest manufacturers of private labels for the retail trade. Ludwig Schokolade products are manufactured to the highest quality and production standards at its four production sites in Saarlouis, Saarwellingen, Tuczno and Skoczów."
MAT Foundries,"MAT Foundries Europe has more than 40 years of experience in the production of safety-relevant ductile iron castings for the passenger car and commercial vehicle industry in its two state-of-the-art plants in Germany. MAT Foundries Europe invests heavily in manufacturing technology, process organization, research & development and test engineering to produce the best brake, chassis and powertrain parts available. All of this supported by decades of experience. With over 800 employees dedicated to customer satisfaction and meeting the highest OEM and Tier-1 quality requirements, MAT Foundries Europe is your reliable partner for ductile iron automotive parts."
Adient,"Adient Saarlouis Ltd. & Co. KG was founded in 1994 under the name Johnson Controls Schwalbach GmbH. In July 2001, the site was relocated to the Ford Industrial Supplier Park. In October 2016, the company was renamed Adient Saarlouis Ltd. & Co. KG. Our site is characterized by continuous improvement processes driven by our employees. Training and further education as well as our junior management program are the foundations for our success. Thanks to our motivated and committed employees, we are always one step ahead of our competitors. For more than 26 years we have been supplying our customer Ford in Saarlouis and since 2014 also the customer Smart in Hambach for the Smart Fortwo model with complete seat sets of the highest quality"
Schröder,"Schröder Fleischwaren GmbH & Co. KG is a medium-sized company based in Saarbrücken. Since our foundation in 1865, our company has been family-owned - something we are still very proud of today. As a traditional house for fine meat and sausage products, the name Schröder is now known far beyond the borders of the Saarland. The products are sold through our own network of branches or fresh delivery tours in the Saarland and neighboring Rhineland-Palatinate.  But that's not all: With our own vehicles, we also deliver the popular Saarland sausage and meat products to neighboring states such as Baden-Württemberg and the Rhine-Main region. Our products also reach customers throughout the Federal Republic via freight forwarders. In addition, we maintain a branch office in Dresden and are present on the French market with our subsidiary Jeca France, which serves the national market locally.  Our customer portfolio includes food retailers, canteen kitchens, gastronomy and classic wholesalers."
